ls_product_id,barcode,ls_name,error
9b977964-50f3-47b3-8867-416c41c91fa5,195696195366,Ariat REAL Perfect Rise Boot Cut (W-ARI-10041063-29-S) [W-ARI-10041063-29-S],barcode already used by another LS product
81c3b241-3137-4160-9bdc-ba2138298046,889359493141,Ariat Rebar M3 Loose Straight Leg Jeans (M-ARI-10022605-SIE-34-34),barcode already used by another LS product
ee125ef5-1dd1-4cf1-bf2d-6447cf84d265,195696203375,Ariat Rebar M4 Relaxed Boot Cut Jeans (M-ARI-10041086-GAB-33-34),barcode already used by another LS product
0cc0086c-0e10-4ca8-996f-923824f7f582,195696018467,Ariat Rebar M5 Work Flow Pants (M-ARI-10039289-BLA-30-34),barcode already used by another LS product
33969f9c-bb80-4c38-a622-185fffa63232,195696590284,Ariat Rebar Work Flex Jeans (W-ARI-10045373-32-S),barcode already used by another LS product
e574880d-02c0-4ee9-9343-c23f55f115a7,195696404574,Ariat Ultra Stretch Katie Jeans (W-ARI-10043175-31-L),barcode already used by another LS product
78876663-7029-4e57-b4c0-c4021b30bc64,195696205331,Ariat Work Rebar M7 Slim Fit Straight Leg (M-ARI-10041080-BLA-30-34),barcode already used by another LS product
5c6b685b-059d-40f7-9e79-68e9867870b9,197318151354,Crius Insulated Vest (W-ARI-10052831-CC-1X),barcode already used by another LS product
1f8a54e3-8190-49aa-961f-f9f233b129a2,195696432454,Demetri Classic LS Shirt (M-ARI-10043921-WIN-S/P),barcode already used by another LS product
56b1bd66-f537-4a92-9d60-9988a978d5a8,197318907715,Felipe FTD LS SNP SHRT (M-ARI-10073623-CHA-XXL),barcode already used by another LS product
1359fb62-2439-48f7-a2ea-a5c065cde5bf,197318907722,Felipe FTD LS SNP SHRT (M-ARI-10073623-CHA-XXL),barcode already used by another LS product
039bf898-c264-4faa-9e3d-4c1097b0c948,197318907685,Felipe FTD LS SNP SHRT (M-ARI-10073623-CHA-XXL),barcode already used by another LS product
c28b3c00-47d4-494a-8bfe-a6cff178cdd1,197318907692,Felipe FTD LS SNP SHRT (M-ARI-10073623-CHA-XXL),barcode already used by another LS product
051a7a6a-7f12-49e2-aa1c-2fa96f87d92d,197318907708,Felipe FTD LS SNP SHRT (M-ARI-10073623-CHA-XXL),barcode already used by another LS product
480c9e17-2d4d-41ec-b66a-3eb267cd097d,751702668875,Heritage Western R Toe (M-ARI-10002218-BLA-14-D),barcode already used by another LS product
0ce8c1fb-1c3b-4342-81f9-b322fe046094,195696251277,Real Crius Ins Vest (W-ARI-10041584-BAN-XL),barcode already used by another LS product
9c2d4a79-3f59-413b-9727-74349dfcee53,192904726282,Women's Circuit Savanna (W-ARI-10035942-NAT-6.5-B),barcode already used by another LS product
ea896f50-cec8-4daf-af6f-9d4ea6bc269d,195696536329,Women's Olena Boots (W-ARI-10044442-6-B),barcode already used by another LS product
6d0ed92b-dfce-43dc-90b7-e51d3f5dec09,701340515901,Blazin Roxx 30592 (A-MFW-30592-MUL),barcode already used by another LS product
067f7b55-288c-4306-85fc-1dd12aa3573a,701340515918,Blazin Roxx 30594 (A-MFW-30594-BLA),barcode already used by another LS product
dff71970-8f51-4326-ab5f-d630af56938d,193109643961,Corral LD Fuchsia Embroidered Ankle Boot (W-COR-Z5137-FUC-8-M) [W-COR-Z5137-FUC-8-M],barcode already used by another LS product
40a9c8ca-d8e3-4a3f-9f30-7f1255f5c1b2,193109786781,MN Tobacco/Turquoise Fish Pirarucu Embroid (M-COR-B50223-TT-12-D) [M-COR-B50223-TT-12-D],barcode already used by another LS product
23006c0f-c6a6-4ced-b460-b42f17e07511,193109786798,MN Tobacco/Turquoise Fish Pirarucu Embroid (M-COR-B5023-TT-13-NA) [M-COR-B5023-TT-13-NA],barcode already used by another LS product
1299e572-e1ba-4223-bc9a-608ea50bf298,731871428999,Holland Tan Water Buffalo Women's Roper Toe Boots (W-BHS-RP3311-TAN-10-B) [W-BHS-RP3311-TAN-10-B],barcode already used by another LS product
a9381466-8882-4509-8cc0-aa3c681f151b,731871832062,Kilgore Hickory Brown Water Buffalo Boots (M-BHS-SE750-HIC-13-D) [M-BHS-SE750-HIC-13-D],barcode already used by another LS product
889e117e-f87d-4552-b3ca-1c6b112a462e,731871832154,Kilgore Hickory Brown Water Buffalo Boots (M-BHS-SE7501-HIC-10.5-EE) [M-BHS-SE7501-HIC-10.5-EE],barcode already used by another LS product
1a207aff-672e-4cfe-86e2-1e00948f9a6d,731871832048,Kilgore Hickory Brown Water Buffalo Boots (M-BHS-SE7501-HIC-11.5-D) [M-BHS-SE7501-HIC-11.5-D],barcode already used by another LS product
fb2df437-3c54-4a62-b32b-360e328cb7de,731871832178,Kilgore Hickory Brown Water Buffalo Boots (M-BHS-SE7501-HIC-11.5-EE) [M-BHS-SE7501-HIC-11.5-EE],barcode already used by another LS product
6ba3c990-2736-455c-80f2-cd0872e20b84,731871832079,Kilgore Hickory Brown Water Buffalo Boots (M-BHS-SE7501-HIC-14-D) [M-BHS-SE7501-HIC-14-D],barcode already used by another LS product
c03222eb-b38c-4efb-b096-c254e1c11685,679145402972,Laredo Men Black 12 VP Stitch Boots (M-DPC-6860-BLA-8-D) [M-DPC-6860-BLA-8-D],barcode already used by another LS product
88e5cc39-b8df-47b5-ae43-26e6950389aa,701340536777,A73124 Hat,barcode already used by another LS product
499b8b95-455b-4f47-ad60-41ec7a4f8fb8,701340526150,Twister Hat,barcode already used by another LS product
36b83953-cf4b-4795-925d-d174abbf66a3,701340287143,Twister Hat T7101001,barcode already used by another LS product
7af49271-b3da-423a-b33a-d98b5c686226,701340789661,Twister Hat T73436,barcode already used by another LS product
aed7d138-58f5-4d1b-807b-c08e9ffa8a82,701340789630,Twister Hat T73436 (A-MFW-T73436-7-7),barcode already used by another LS product
62c53ac8-ed48-4535-9eb2-178c62f9e05b,701340580381,Twister Youth Hat (K-MFW-T7100348-M-M),barcode already used by another LS product
1cc9a50b-667c-456c-a851-ff1adbd082b0,701340613454,Twister Youth Hat (K-MFW-T71318-M-M),barcode already used by another LS product
7719a2ef-86fa-45c3-bb39-b7544ab8074a,196692787272,Dark Vintage Double Barrel Jeans (A-WMA-VMTBD02587-DAR-36-32),barcode already used by another LS product
d761de0c-4184-4abc-9aeb-16d38c11169d,194648870436,Dark Wash Stripe Trouser (W-WMA-RRWD5HRZTX-DAR-34-32),barcode already used by another LS product
caa716ff-ab80-4b8d-b958-772bcf4e8219,194648870443,Dark Wash Stripe Trouser (W-WMA-RRWD5HRZTX-DAR-34-32),barcode already used by another LS product
