confidence,name_similarity,match_type,ls_product_id,ls_name,ls_sku,brand,ls_current_type_id,our_category,our_sku,our_name
MEDIUM,0.62,sku_match,a368e789-a5b4-4782-852f-2a1dc00c314a,Wrangler Retro Shirt (M-KON-112378801-MVR-S),M-KON-112378801-MVR-L,Wrangler,,Apparel - Western Shirt,M-KON-112378801-MVR-L,Wrangler Retro Shirt
MEDIUM,0.62,sku_match,b6d42856-732d-4a60-8707-2b0de0e2e4cc,Wrangler Retro Shirt (M-KON-112378801-MVR-S),M-KON-112378801-MVR-XXL,Wrangler,,Apparel - Western Shirt,M-KON-112378801-MVR-XXL,Wrangler Retro Shirt
MEDIUM,0.62,sku_match,4c285fc5-8da0-4add-8769-5aacaafa0c42,Wrangler Retro Shirt (M-KON-112378801-MVR-S),M-KON-112378801-MVR-M,Wrangler,,Apparel - Western Shirt,M-KON-112378801-MVR-M,Wrangler Retro Shirt
MEDIUM,0.62,sku_match,071fe028-b6c9-4763-8734-8a447575dba4,Wrangler Retro Shirt (M-KON-112378801-MVR-S),M-KON-112378801-MVR-LT,Wrangler,,Apparel - Western Shirt,M-KON-112378801-MVR-LT,Wrangler Retro Shirt
MEDIUM,0.62,sku_match,f96c451b-bb12-47a3-948d-de577f01e174,Wrangler Retro Shirt (M-KON-112378801-MVR-S),M-KON-112378801-MVR-XLT,Wrangler,,Apparel - Western Shirt,M-KON-112378801-MVR-XLT,Wrangler Retro Shirt
MEDIUM,0.76,sku_match,2a416a4b-3df0-4022-bab2-37dc03cfc0e7,Wrangler SS Western Shirt (M-KON-SS-3XLT),M-KON-SS-3XLT,Wrangler,,Apparel - Western Shirt,M-KON-SS-3XLT,Wrangler SS Western Shirt
MEDIUM,0.64,sku_match,e1dcb627-5e0a-427b-9838-1095bffe3e40,Wrangler Western Shirt (M-KON-1076951PP-ASS-4X),M-KON-1076951PP-ASS-4X,Wrangler,,Apparel - Western Shirt,M-KON-1076951PP-ASS-4X,Wrangler Western Shirt
MEDIUM,0.71,sku_match,cf7df2b1-e7a8-4d21-bba8-fc980caf4f7d,Wrangler Western Shirt (W-KON-LW011FA-L),W-KON-LW011FA-L,Wrangler,,Apparel - Western Shirt,W-KON-LW011FA-L,Wrangler Western Shirt
MEDIUM,0.71,sku_match,f9e8b0fd-e2aa-41a2-b225-e0c6bb28ccd4,Wrangler Western Shirt (W-KON-LW011FA-M),W-KON-LW011FA-M,Wrangler,,Apparel - Western Shirt,W-KON-LW011FA-M,Wrangler Western Shirt
MEDIUM,0.79,sku_match,78e35705-a9f2-42e3-951b-8a05abf47bc2,Wrangler x Lainey Wilson Mid Wash Denim Shirt (W-KON-112360616-MID-M),W-KON-112360616-MID-M,Wrangler,,Apparel - Western Shirt,W-KON-112360616-MID-M,Wrangler x Lainey Wilson Mid Wash Denim Shirt
MEDIUM,0.74,barcode_match,23dbca5d-4e8a-4f02-8569-323885dc01ac,Wrangler Retro Western Denim Shirt (W-KON-10LW3039D-DEN-L),W-KON-10LW3039D-DEN-L,Wrangler,,Apparel - Woven Shirt,W-KON-10LW3039D-DEN-L,Wrangler Retro Western Denim Shirt
MEDIUM,0.68,sku_match,354ac8d0-ffbd-47b6-9589-44e3c7f06ce5,SS Snap-Front Plaid Shirt (W-KON-112329351-BLU-M),M-KON-112329351-BLU-XXL,Wrangler,,Apparel - Woven Shirt,M-KON-112329351-BLU-XXL,SS Snap-Front Plaid Shirt
MEDIUM,0.68,sku_match,38855f9d-32fd-491f-a832-e40ab614e950,SS Snap-Front Plaid Shirt (W-KON-112329351-BLU-M),W-KON-112329351-BLU-M,Wrangler,,Apparel - Woven Shirt,W-KON-112329351-BLU-M,SS Snap-Front Plaid Shirt
MEDIUM,0.73,sku_match,c58466ca-9ced-465b-8894-c7583a18fe6a,Wrangler SS Button-Up Plaid Shirt (W-KON-112329350-RED-S),W-KON-112329350-RED-S,Wrangler,,Apparel - Woven Shirt,W-KON-112329350-RED-S,Wrangler SS Button-Up Plaid Shirt
MEDIUM,0.68,sku_match,c9a362f6-7f44-4b50-9884-708eb337c5db,SS Snap-Front Plaid Shirt (W-KON-112329351-BLU-M),W-KON-112329351-BLU-3XL,Wrangler,,Apparel - WovenShirt,W-KON-112329351-BLU-3XL,SS Snap-Front Plaid Shirt
MEDIUM,0.62,sku_match,7b6889ef-8019-4f96-a62c-f6af21f01f58,Wrangler t-shirt (M-KON-112354511-S),M-KON-112354511-S,Wrangler,,Apparel - t-shirt,M-KON-112354511-S,Wrangler t-shirt 
REVIEW,0.31,sku_match,11c6e3ae-2afe-4f7f-8fa5-65222c56f102,Skyline Hat (A-GEN-SFSKYL-BLA-6-7/8) [A-GEN-SFSKYL-BLA-6-7/8],A-GEN-SFSKYL-BLA-6-7/8,,,Accessories - Hats,A-GEN-SFSKYL-BLA-6-7/8,Skyline Hat
REVIEW,0.48,sku_match,8c7be452-2da6-4d7f-8ee1-8aab0c37ec0e,Twister Hat (K-MFW-T723401-L-BLA-L),K-MFW-T723401-L-BLA-L,,,Accessories - Hats,K-MFW-T723401-L-BLA-L,Twister Hat
REVIEW,0.17,direct_id,fddb5eaa-03b3-41c9-93e2-d57ba1fac5b1,CellSole Antibacterial Footbeds (W-GEN-WFFOTBEDBCELL-L-8.5-NA),W-GEN-WFFOTBEDBCELL-L-8.5-NA,,,Accessories - Jewelry,W-GEN,ER - Duo Horseshoe Nail Earrings
REVIEW,0.26,direct_id,ffb78115-47d7-4b2e-b754-4e5a69cd3929,CoJo Special Hat [A-GEN-RSCOJO-CJ429674-NT-7-1/2],A-GEN-RSCOJO-CJ429674-NT-7-1/2,,,Accessories - Jewelry,A-GEN,Necklace with Pendant
REVIEW,0.53,sku_match,29b4eb76-692a-4e0d-b14f-94adf42b6d34,Machine Woven Braided Belt (A-MFW-2000638-BT),A-MFW-2000638-BT,,,Accessories - Woven Belt,A-MFW-2000638-BT,Nocona Belt 2000638
REVIEW,0.52,sku_match,272a289e-df6e-42bf-8244-4f44daabdf72,Machine Woven Braided Belt (A-MFW-2000619-BLA),A-MFW-2000619-BLA,,,Accessories - braided-Belt,A-MFW-2000619-BLA,Nocona Belt 2000619
REVIEW,0.51,sku_match,b4a8eb3b-d9cc-499f-8cf9-a7370b15249d,Jada Fleece (W-OTC-48705-TAN-SM),W-OTC-48705-TAN-SM,,,Apparel - Fleece,W-OTC-48705-TAN-SM,Jada Fleece
REVIEW,0.4,sku_match,eaa15878-410f-4c40-b563-fdb2fb719a93,Outback Trading Company Avery Big Shirt (W-OTC-42183-CRE-XL),W-OTC-42183-CRE-LG,,,Apparel - Fleece,W-OTC-42183-CRE-LG,Avery Big Shirt
REVIEW,0.46,sku_match,2b4315a1-664a-4aad-9169-539776b05858,Floral Hoodie (W-GEN-1009803000787BU-NAV-XL),W-GEN-1009803000787BU-NAV-XL,,,Apparel - Hoodie,W-GEN-1009803000787BU-NAV-XL,Floral Hoodie
REVIEW,0.55,sku_match,f6266cf5-e586-429b-8ffa-04559002e0c9,Ashlyn Jacket (W-OTC-29819-BRO-SM),W-OTC-29819-BRN-2X,,,Apparel - Jacket,W-OTC-29819-BRN-2X,Ashlyn Jacket
