ls_product_id,ls_name,color,size,length,ls_upc,ls_supply_price,ls_retail_price,ls_custom_sku,ls_is_active,note
b5d99d6d-ce13-4076-a1f8-6c2a58ffe895,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,27,31,51071501446,21.25,0,0013M-Men-27-31,True,No match in spreadsheet — candidate for deletion
0a988aee-1e2f-4049-8bc3-f995df8da2f3,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,27,32,51071501453,21.25,0,0013M-Men-27-32,True,No match in spreadsheet — candidate for deletion
c7fcd682-6b61-4eb4-ad80-e0fc03910b08,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,27,33,51071501460,21.25,0,0013M-Men-27-33,True,No match in spreadsheet — candidate for deletion
a99799f2-863c-4631-bb66-8d318500de2a,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,27,34,51071501477,21.25,0,0013M-Men-27-34,True,No match in spreadsheet — candidate for deletion
17ccfb91-8cd1-4ad8-be94-db45d69e5c38,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,27,36,51071501484,21.25,0,0013M-Men-27-36,True,No match in spreadsheet — candidate for deletion
713c3319-da90-413e-a15f-db52674c14c4,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,27,38,51071225250,22.5,0,0013M-Men-27-38,True,No match in spreadsheet — candidate for deletion
5447230b-aa12-4962-884b-7c5ca76cf212,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,28,32,51071501514,21.25,0,0013M-Men-28-32,True,No match in spreadsheet — candidate for deletion
20e6bc98-f5d7-4f42-b9c1-912092216df2,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,28,34,51071501538,21.25,0,0013M-Men-28-34,True,No match in spreadsheet — candidate for deletion
7a47a9ae-2beb-4d0e-b4cf-97fdafa745cf,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,28,36,51071501545,21.25,0,0013M-Men-28-36,True,No match in spreadsheet — candidate for deletion
7c0743e2-9047-4673-8a27-b514e1081cda,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,29,34,51071501590,21.25,0,0013M-Men-29-34,True,No match in spreadsheet — candidate for deletion
fd6e4b38-ef93-4e94-9a59-4a27cf719e88,Cowboy Cut® Original Fit - Navy - 0013M,NAVY,29,40,51071225274,22.5,0,0013M-Men-29-40,True,No match in spreadsheet — candidate for deletion
