confidence,name_similarity,match_type,ls_product_id,ls_name,ls_sku,brand,supplier,our_barcode,our_sku,our_name,Review,Reason
HIGH,1,direct_id,5851f1e1-ee4b-4182-946b-76734463294c,"www.dbsupply.com › wrangler-long-sleeve-westernWrangler Dress Western Basic Shirt, Long Sleeves",M-KON-1071125CP-17X37-TALL,Wrangler,,760609130347,M-KON-1071125CP-17-1/2-X-37-TALL,"www.dbsupply.com › wrangler-long-sleeve-westernWrangler Dress Western Basic Shirt, Long Sleeves",ok,
MEDIUM,0.74,sku_match,be8b4343-5e43-46ca-b09c-38df37264719,"1"" Adj Chin & Throat Snap Halter (A-WLE-35-7035-BL-MED)",A-WLE-35-7035-BL-MED,,Weaver Leather,000399131989,A-WLE-35-7035-BL-MED,"1"" Adj Chin & Throat Snap Halter",ok,
MEDIUM,0.66,sku_match,ba3a955e-054f-4ffa-9436-ee235b576fc5,"11"" Rugged Tan Gaucho (A-GEN-4440-TAN-15-D)",A-GEN-4440-TAN-15-D,,,731871880803,A-GEN-4440-TAN-15-D,"11"" Rugged Tan Gaucho",ok,
MEDIUM,0.64,sku_match,396a2a11-f8d4-4e46-8f2c-907d0a4ba3de,19M Sleeveless 2pkt Snap (W-WMA-RSWSSSR19M-BLU-XXL),W-WMA-RSWSSSR19M-BLU-M,,Westmoor Manufacturing,196692595785,W-WMA-RSWSSSR19M-BLU-M,19M Sleeveless 2pkt Snap,Ok,
MEDIUM,0.64,sku_match,bb23b76c-e902-4599-86f3-5d5ea042e8a1,19M Sleeveless 2pkt Snap (W-WMA-RSWSSSR19M-BLU-XXL),W-WMA-RSWSSSR19M-BLU-XXL,,Westmoor Manufacturing,196692595815,W-WMA-RSWSSSR19M-BLU-XXL,19M Sleeveless 2pkt Snap,ok,
MEDIUM,0.64,sku_match,7779c169-45d8-47e5-ad58-ecc1f26b621f,"3/4"" Adj Chin & Throat Snap Halter [A-WLE-35-1032-BL-BLU-Weanling-Horse]",A-WLE-35-1032-BL-BLU-Weanling-Horse,,Weaver Leather,000399117242,A-WLE-35-1032-BL-BLU-Weanling-Horse,"3/4"" Adj Chin & Throat Snap Halter",ok,
MEDIUM,0.9,sku_match,fa4bebef-de73-4aad-bc12-d9ef95d663b2,AWST Int'l Barrel Racer Necklace w/Colorful Cowboy Hat Gift Box (A-JPC-JN140),A-JPC-JN140,,,840862011871,A-JPC-JN140,AWST Int'l Barrel Racer Necklace w/Colorful Cowboy Hat Gift Box,ok,
MEDIUM,0.72,sku_match,119d4993-3eff-45e4-b285-b2d59ae57a4a,AWST Int'l Horse Bag Charm (A-JPC-63-GG423-BL),A-JPC-63-GG423-BL,,,0840364455883,A-JPC-63-GG423-BL,AWST Int'l Horse Bag Charm,ok,
MEDIUM,0.61,sku_match,11be21d4-e4d3-42e9-b696-d77bcc336b5c,AWST Int'l Horse Bag Charm (A-JPC-63-GG423-RD-RED-3H-x-4-W),A-JPC-63-GG423-RD-RED-3H-x-4-W,,AWST International,0840364455876,A-JPC-63-GG423-RD-RED-3H-x-4-W,AWST Int'l Horse Bag Charm,ok,
MEDIUM,0.64,sku_match,d4e8fe8f-0c83-487d-8de3-81012f26c422,Abilene Boots 3147 (M-ABC-3147-11.5-D),M-ABC-3147-11.5-D,,,889871002494,M-ABC-3147-11.5-D,Abilene Boots 3147,ok,
MEDIUM,0.65,sku_match,ea511a66-2784-481d-a7ab-b4b3d72ee50b,Abilene Boots 6401 (M-ABC-6401-13-EE),M-ABC-6401-13-EE,,,889871005754,M-ABC-6401-13-EE,Abilene Boots 6401,ok,
MEDIUM,0.65,sku_match,d14e70e3-9b9f-45f0-830d-8a8f68337013,Abilene Boots 6436 (M-ABC-6436-13-EE),M-ABC-6436-13-EE,,,889871006850,M-ABC-6436-13-EE,Abilene Boots 6436,ok,
MEDIUM,0.75,sku_match,5a9728b0-10a3-4d72-b33f-6508fddd4bdb,Alum Crib with PP Strp w/o F (A-GEN-21282P-24K),A-GEN-21282P-24K,,,715519479901,A-GEN-21282P-24K,Alum Crib with PP Strp w/o F,ok,
MEDIUM,0.89,sku_match,b0e1b96d-0809-4be8-a9c1-5ff950751b7d,Always Be My Baby,A-GEN-CSABMB-0640NUL0-NAT-L,,,195556091715,A-GEN-CSABMB-0640NUL0-NAT-L,Always Be My Baby Hat,ok,
MEDIUM,0.68,sku_match,6604a943-4c50-4121-a05c-c1db812fe12b,American Frontier Graphic Tee (W-WMA-WLWT21R1CS-SKY-XXL),W-WMA-WLWT21R1CS-SKY-XXL,,Westmoor Manufacturing,196692597871,W-WMA-WLWT21R1CS-SKY-XXL,American Frontier Graphic Tee,ok,
MEDIUM,0.75,sku_match,14dd1681-46a9-4bd5-ae8d-08a7a0a61510,"Ari Women's 10"" Composite Toe Roper (W-BHS-DH5374-CHA-6-M)",W-BHS-DH5374-CHA-9.5-M,,,749186495810,W-BHS-DH5374-CHA-9.5-M,"ARI Women's 10"" Composite Toe Roper",ok,
MEDIUM,0.69,sku_match,400ee511-af89-4375-85d3-efe468df659b,"Ari Women's 10"" Roper Boots (W-BHS-DH5373-CHA-11-M)",W-BHS-DH5373-CHA-9-M,,,749186495698,W-BHS-DH5373-CHA-9-M,"Ari Women's 10"" Roper Boots",ok,
MEDIUM,0.61,sku_match,40cbca70-1351-4ff0-a71f-863b34d0bb95,Ariat Trucker Cap (A-MFW-A300093133-OS),A-MFW-A300093133-OS,,,701340792418,A-MFW-A300093133-OS,Ariat Trucker Cap,ok,
MEDIUM,0.65,sku_match,6a1521d0-7975-4467-a702-33ea6c45a36a,Boxy Aztec Graphic Tee (W-WMA-LW21T0432-TAN-S),W-WMA-LW21T0432-TAN-S,,Westmoor Manufacturing,197815092457,W-WMA-LW21T0432-TAN-S,Boxy Aztec Graphic Tee,ok,
MEDIUM,0.62,sku_match,f36cc0bc-fa08-464c-8896-64d2cd1e3021,Brazilian Bull Rope (A-SBI-10-96L-NAT-9/9),A-SBI-10-96L-NAT-9/9,,,657414966998,A-SBI-10-96L-NAT-9/9,Brazilian Bull Rope,ok,
MEDIUM,0.74,sku_match,01be2490-3237-4b8e-a4d4-d28e38328036,Breathe Classic Bootcut (W-CTU-JBREAC-33-XL),W-CTU-JBREAC-34-XL,,,840184564437,W-CTU-JBREAC-34-XL,Breathe Classic Bootcut Jeans,ok,
MEDIUM,0.64,sku_match,8af33292-21c0-42a2-ab84-0a8357a9e0ab,Bullhide Hat Legacy 8X (A-BHH-0518SB-SIL-7-1/4),A-BHH-0518SB-SIL-7-1/4,,Bullhide Hats,7707060237157,A-BHH-0518SB-SIL-7-1/4,Bullhide Hat Legacy 8X,ok,
MEDIUM,0.64,sku_match,4687b6a1-33eb-4f25-ab89-f6619ff813ce,Bullhide Hat Legacy 8X (A-BHH-0518SB-SIL-7-1/4),A-BHH-0518SB-SIL-7-1/2,,Bullhide Hats,7707060237171,A-BHH-0518SB-SIL-7-1/2,Bullhide Hat Legacy 8X,ok,
MEDIUM,0.64,sku_match,a93c6de0-c5b6-4f93-9c99-3f213274ad1a,Bullhide Hat Legacy 8X (A-BHH-0518SB-SIL-7-1/4),A-BHH-0518SB-SIL-7-5/8,,Bullhide Hats,7707060237188,A-BHH-0518SB-SIL-7-5/8,Bullhide Hat Legacy 8X,ok,
MEDIUM,0.65,sku_match,87928c7d-573d-4952-b362-371f45318dd7,Card 00001 (LT-00001),LT-00001,,,032687099213,LT-00001,Card 00001,Ok,
MEDIUM,0.65,sku_match,e67b2f84-91d7-4c4d-b765-f49b5d3a3d13,Card 00019 (LT-00019),LT-00019,,,032687080181,LT-00019,Card 00019,Ok,
MEDIUM,0.65,sku_match,5d5d32ab-be2c-44e3-95b8-79a55168b52c,Card 00020 (LT-00020),LT-00020,,,032687225285,LT-00020,Card 00020,Ok,
MEDIUM,0.65,sku_match,f7a0fdc0-cef0-4385-95d6-15cda88f1a8e,Card 00063 (LT-00063),LT-00063,,,032687194314,LT-00063,Card 00063,Ok,
MEDIUM,0.65,sku_match,ac224729-a092-4c97-8626-7fc8caf3cdd0,Card 00101 (LT-00101),LT-00101,,,032687193331,LT-00101,Card 00101,Ok,
MEDIUM,0.65,sku_match,4534f1a1-89d3-4a63-90a6-4d688ca1dc7a,Card 00112 (LT-00112),LT-00112,,,032687198565,LT-00112,Card 00112,Ok,
MEDIUM,0.65,sku_match,d1c52dd9-5782-4b46-9ac3-bf1c199a9dca,Card 00134 (LT-00134),LT-00134,,,032687193669,LT-00134,Card 00134,Ok,
MEDIUM,0.65,sku_match,8b2391c3-069c-4eda-8ef6-6c58ed553933,Card 00149 (LT-00149),LT-00149,,,032687193812,LT-00149,Card 00149,Ok,
MEDIUM,0.65,sku_match,507d02e3-05a8-4d0f-abf3-e745ae09e41a,Card 00150 (LT-00150),LT-00150,,,032687099749,LT-00150,Card 00150,Ok,
MEDIUM,0.65,sku_match,07eb64aa-080e-4980-ada1-e68a60f724d8,Card 00160 (LT-00160),LT-00160,,,032687142407,LT-00160,Card 00160,Ok,
MEDIUM,0.65,sku_match,d752f8af-8e10-4e7e-8c6e-2efacc9f5afe,Card 00167 (LT-00167),LT-00167,,,032687196349,LT-00167,Card 00167,Ok,
MEDIUM,0.65,sku_match,028996ac-3c1c-443c-85b2-208c443ba909,Card 00208 (LT-00208),LT-00208,,,032687142599,LT-00208,Card 00208,Ok,
MEDIUM,0.65,sku_match,49e0a9b9-efd7-4ffc-9e4f-94d634440f90,Card 00262 (LT-00262),LT-00262,,,032687095000,LT-00262,Card 00262,Ok,
MEDIUM,0.65,sku_match,840fede0-e4d0-4418-b88b-3411072e84e8,Card 00273 (LT-00273),LT-00273,,,032687173791,LT-00273,Card 00273,Ok,
MEDIUM,0.65,sku_match,43e54202-e01b-4a42-8dca-447043eb8d0a,Card 00301 (LT-00301),LT-00301,,,032687208660,LT-00301,Card 00301,Ok,
MEDIUM,0.65,sku_match,1c14c9a7-78a2-4f60-9451-c143744b655b,Card 00303 (LT-00303),LT-00303,,,032687179076,LT-00303,Card 00303,Ok,
MEDIUM,0.65,sku_match,7f57c7d0-7535-4261-9097-ea634c2fbc3b,Card 00321 (LT-00321),LT-00321,,,032687212810,LT-00321,Card 00321,Ok,
MEDIUM,0.65,sku_match,2994c0a9-41d1-4957-86ea-a9127b502e5e,Card 00324 (LT-00324),LT-00324,,,032687203443,LT-00324,Card 00324,Ok,
MEDIUM,0.65,sku_match,eb203e85-5170-475a-8469-3ce5e9da64cc,Card 00325 (LT-00325),LT-00325,,,032687117788,LT-00325,Card 00325,Ok,
MEDIUM,0.65,sku_match,2809f4c5-7356-4658-a411-dcef3cb7eff4,Card 00327 (LT-00327),LT-00327,,,032687203511,LT-00327,Card 00327,Ok,
MEDIUM,0.65,sku_match,6ce69019-26fb-4789-9172-eb8477397197,Card 00358 (LT-00358),LT-00358,,,032687154493,LT-00358,Card 00358,Ok,
MEDIUM,0.65,sku_match,f49802bb-145e-43f7-bb99-83ab5b12ca2d,Card 00413 (LT-00413),LT-00413,,,032687004460,LT-00413,Card 00413,Ok,
MEDIUM,0.65,sku_match,6e496392-962c-42a2-9e6c-5c27a1b10e8c,Card 00441 (LT-00441),LT-00441,,,032687219000,LT-00441,Card 00441,Ok,
MEDIUM,0.65,sku_match,bd0cb904-71de-4529-a7d9-328eabe5292b,Card 00459 (LT-00459),LT-00459,,,032687155483,LT-00459,Card 00459,Ok,
MEDIUM,0.65,sku_match,368e8ee7-4127-4c80-a0dd-f51c68f62003,Card 00494 (LT-00494),LT-00494,,,032687230227,LT-00494,Card 00494,Ok,
MEDIUM,0.65,sku_match,d8fd0b61-6189-4a91-bb09-84978a0b5681,Card 00511 (LT-00511),LT-00511,,,032687122669,LT-00511,Card 00511,Ok,
MEDIUM,0.65,sku_match,da595061-fbd7-4472-8bd6-88687baf4a45,Card 00550 (LT-00550),LT-00550,,,032687189556,LT-00550,Card 00550,Ok,
MEDIUM,0.65,sku_match,cd319a5a-f19a-4470-b54c-a849669c622b,Card 00557 (LT-00557),LT-00557,,,032687231866,LT-00557,Card 00557,Ok,
MEDIUM,0.65,sku_match,af2fb423-75bc-4805-8e61-b3cf4acf89b1,Card 00568 (LT-00568),LT-00568,,,032687191474,LT-00568,Card 00568,Ok,
MEDIUM,0.65,sku_match,44c6b2d7-0c06-4b42-a513-1070f77acb02,Card 00586 (LT-00586),LT-00586,,,032687161323,LT-00586,Card 00586,Ok,
MEDIUM,0.65,sku_match,8265d614-9339-4196-9e9b-6deb632e3caa,Card 00589 (LT-00589),LT-00589,,,032687161354,LT-00589,Card 00589,Ok,
MEDIUM,0.65,sku_match,9eb10c37-bb61-47cb-ad03-dded297f91df,Card 00615 (LT-00615),LT-00615,,,032687130749,LT-00615,Card 00615,Ok,
MEDIUM,0.65,sku_match,23ec9aff-029f-4dc6-b625-a3c08a6cb878,Card 00633 (LT-00633),LT-00633,,,032687192129,LT-00633,Card 00633,Ok,
MEDIUM,0.65,sku_match,759b7c18-ae19-4ca0-ac6f-81d8ec367557,Card 00637 (LT-00637),LT-00637,,,032687167592,LT-00637,Card 00637,Ok,
MEDIUM,0.65,sku_match,2d0255ed-9ee8-44d8-94ca-645d16b485ad,Card 00665 (LT-00665),LT-00665,,,032687194093,LT-00665,Card 00665,Ok,
MEDIUM,0.65,sku_match,204222b3-7e41-44be-b084-7a2ae4b868e4,Card 00686 (LT-00686),LT-00686,,,032687196196,LT-00686,Card 00686,Ok,
MEDIUM,0.65,sku_match,81704fc3-db31-42a9-bb55-0a361c412dbc,Card 00687 (LT-00684),LT-00684,,,032687194284,LT-00684,Card 00687,Ok,
MEDIUM,0.65,sku_match,bd13413d-5f93-44ad-8796-bd56832ac41a,Card 00728 (LT-00728),LT-00728,,,032687202705,LT-00728,Card 00728,Ok,
MEDIUM,0.65,sku_match,618984a3-b7c4-4639-a237-4b561f01a869,Card 00730 (LT-00730),LT-00730,,,032687202736,LT-00730,Card 00730,Ok,
MEDIUM,0.65,sku_match,8fb79f93-3cfb-4cdd-a38f-5dc5f90e83e4,Card 00736 (LT-00736),LT-00736,,,032687202521,LT-00736,Card 00736,Ok,
MEDIUM,0.65,sku_match,228d2d4d-7b08-46c0-893f-e1d08d8f6781,Card 00757 (LT-00757),LT-00757,,,032687207441,LT-00757,Card 00757,Ok,
MEDIUM,0.65,sku_match,4231383d-db4f-49cd-8b79-8041de13817d,Card 00781 (LT-00781),LT-00781,,,032687207380,LT-00781,Card 00781,Ok,
MEDIUM,0.65,sku_match,18dff6fb-0dbf-438f-a8f7-09176f447fee,Card 00788 (LT-00788),LT-00788,,,032687173616,LT-00788,Card 00788,Ok,
