color_code,size,length,ss_new_name,ss_new_sku,ss_upc,ss_supply_price,note
BCH,32,32,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-32-32,084084785053,30.0,In spreadsheet but not found in LS — needs CREATE
GBB,36,32,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-36-32,084084441577,31.65,In spreadsheet but not found in LS — needs CREATE
TAN,38,38,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-38-38,084084392022,31.25,In spreadsheet but not found in LS — needs CREATE
WHI,36,34,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-36-34,051071675789,30.0,In spreadsheet but not found in LS — needs CREATE
BCH,33,30,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-33-30,084084785091,30.0,In spreadsheet but not found in LS — needs CREATE
AWS,34,34,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-34-34,760609586090,31.65,In spreadsheet but not found in LS — needs CREATE
TAN,44,30,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-44-30,084084392053,27.5,In spreadsheet but not found in LS — needs CREATE
SHB,35,34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-35-34,084084494603,30.0,In spreadsheet but not found in LS — needs CREATE
WHI,28,36,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-28-36,051071675437,30.0,In spreadsheet but not found in LS — needs CREATE
CHA,29,36,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-29-36,051071266598,30.0,In spreadsheet but not found in LS — needs CREATE
TAN,29,34,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-29-34,051071340311,30.0,In spreadsheet but not found in LS — needs CREATE
DST,36,34,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-36-34,084084358639,31.65,In spreadsheet but not found in LS — needs CREATE
GBB,30,30,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-30-30,084084441287,31.65,In spreadsheet but not found in LS — needs CREATE
