bracket_id,bracket_name,bracket_upc,bracket_sku,bracket_custom1,bracket_color,bracket_size,clean_id,clean_name,clean_upc,clean_sku,clean_custom1,clean_color,clean_size,match_confidence,action
4e08df39-d360-4c67-ba65-a7881db081ca,CHI 8 BLACK/RED DEXTER BS (K-DPC-DPC4001-BR-11.5-D) [K-DPC-DPC4001-BR-11.5-D],,K-DPC-DPC4001-BR-11.5-D,K-DPC-DPC4001-BR-11.5-D,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
00e2272d-2a25-44ab-9419-c4a05f2aeebb,1/32 Die-Cast Truck (K-GEN-50622),,K-GEN-50622,K-GEN-50622,,,61d42572-3133-46f0-ba20-bde5bd1a4906,Bigtime Rodeo Peterbilt Bull Hauler Play Set,701340339156,50622,50622,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
a66a86c3-57af-418d-8f10-efc0f0d65729,1/32 Die-Cast Model Truck w/ Plastic Openable Door (K-GEN-50632),,K-GEN-50632,K-GEN-50632,,,99573c73-2535-4ef1-a6e9-52a167ab59c5,Bigtime Rodeo Truck & Trailer Play Set,701340339200,50632,50632,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
201ea884-263d-446c-af33-44413cb9a631,Horse Playset (K-GEN-50648) [K-GEN-50648],,K-GEN-50648,K-GEN-50648,,,8f994f25-c1f0-4310-b765-6e84ea3ddc05,Bigtime Barnyard 5pc Horse Play Set,701340339286,50648,50648,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
ce1e35e3-0481-4d16-99a2-dd6bb9f58714,Animal Playset (K-GEN-50650) [K-GEN-50650],,K-GEN-50650,K-GEN-50650,,,485df8f8-c14d-47da-9ba5-a6933e5ce423,Bigtime Barnyard 6pc Cow Play Set,701340339293,50650,50650,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
56dcb3a1-3882-4815-8e06-ebbe39b2d150,Farm Playset (K-GEN-50820),,K-GEN-50820,K-GEN-50820,,,0508542d-bf6e-49dc-bea3-6fcebb25c72a,Bigtime Rodeo Stall and ATV Pink Play Set,701340395244,50820,50820,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
15d9d85b-9939-4269-9385-fad1393f36de,Kubota Toy (K-GEN-5100005),,K-GEN-5100005,K-GEN-5100005,,,6de1db91-975b-429f-8fe4-e1df44d17ea1,Truck KubotaTrack Loader,701340611771,5100005,5100005,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
6b7705d8-290f-401c-8405-532586602735,Tin Haul 14-016-0007-1685 (K-KAR-14-016-0007-1685-4-NA),,K-KAR-14-016-0007-1685-4-NA,K-KAR-14-016-0007-1685-4-NA,,,1535d0ee-b609-4a40-b6c1-dc491fe93f78,Tin Haul,052356012305,W-KAR-14-021-0007-1447-BL-6-NA,W-KAR-14-021-0007-1447-BL-6-NA,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
4ebfa609-183d-4576-a354-e59f4ea63290,Kids Spurs (K-MFW-50200),,K-MFW-50200,K-MFW-50200,,,418356e1-9c58-478a-9b08-269e363dacd1,Kids Spur Set,701340135420,50200,50200,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
81222937-1ba8-4ea1-9d57-9db069111c86,Kids Spurs (K-MFW-5020030),,K-MFW-5020030,K-MFW-5020030,,,0b47be9b-4b0b-4617-b8ab-bf7194acd0e5,KidsSpurSV w/PinkLeather,701340301573,5020030,5020030,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
f3f8ee38-53e3-4f60-8f4e-57b2ed96eaa8,Bigtime Barnyard Toy (K-MFW-5100010) [K-MFW-5100010],,K-MFW-5100010,K-MFW-5100010,,,9ff02384-939c-4d1d-8d2d-e7a9903919ba,Bigtime Barnyard 4 Piece Horse Set,701340687271,5100010,5100010,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
4462ce4f-a6c4-4a6b-a52d-1d07de31882b,Ariat Cap [K-MFW-A300081601-BG-Youth-OS],,K-MFW-A300081601-BG-Youth-OS,K-MFW-A300081601-BG-Youth-OS,,,78ce28af-54d0-4fec-a778-6ea90824d8ee,Youth Schooling Leathers,,K-JTI-24-810-BRO-Youth-1-x-48,K-JTI-24-810-BRO-Youth-1-x-48,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
548e589c-3b79-468d-b5aa-4f16f087de41,Ariat Cap [K-MFW-A300081706-GW-Youth-OS],,K-MFW-A300081706-GW-Youth-OS,K-MFW-A300081706-GW-Youth-OS,,,78ce28af-54d0-4fec-a778-6ea90824d8ee,Youth Schooling Leathers,,K-JTI-24-810-BRO-Youth-1-x-48,K-JTI-24-810-BRO-Youth-1-x-48,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
e9c074d1-9b53-4116-8fea-e65591bb0f36,Smoky Mt 3122C (K-SMB-3122C-BP-11.5-NA) [K-SMB-3122C-BP-11.5-NA],,K-SMB-3122C-BP-11.5-NA,K-SMB-3122C-BP-11.5-NA,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
a812cffc-acc8-41ed-b306-7248a7c5fcb9,Heritage Crepe (M-ARI-10002559-E-11.5-D),,M-ARI-10002559-E-11.5-D,M-ARI-10002559-E-11.5-D,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
0eca7b48-4cd8-423e-9ca0-7975a9a6a298,Ariat Ultra High Rise Wide Leg Jeans (M-ARI-Ariat-C-11.5-EE) [M-ARI-Ariat-C-11.5-EE],,M-ARI-Ariat-C-11.5-EE,M-ARI-Ariat-C-11.5-EE,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
c6511125-aaba-4093-800a-2c14c37271bd,"Vengeance Men's 12"" Waterproof U Toe Western Boots (M-BHS-491860509551-NEU-11.5-NA)",,M-BHS-491860509551-NEU-11.5-NA,M-BHS-491860509551-NEU-11.5-NA,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
3d12c4fe-7148-497b-b4cf-29cffc6c1d67,"Vengeance Men's 12"" Waterproof U Toe Work Western (M-BHS-749186509555-NEU-11.5-NA)",,M-BHS-749186509555-NEU-11.5-NA,M-BHS-749186509555-NEU-11.5-NA,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
7fdf376e-5f18-4aca-9488-32760c7a583f,CONDUCTOR (M-BHS-760-NA-11.5-D),,M-BHS-760-NA-11.5-D,M-BHS-760-NA-11.5-D,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
21d66308-b210-4d68-ba49-85245565d09c,CONDUCTOR (M-BHS-760-NA-11.5-EEE),,M-BHS-760-NA-11.5-EEE,M-BHS-760-NA-11.5-EEE,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
764b7c7e-ee1d-4e93-95c7-c18c2092a4e8,Carolina Gruntz (M-BHS-CA3602-NA-10.5-2E) [M-BHS-CA3602-NA-10.5-2E],,M-BHS-CA3602-NA-10.5-2E,M-BHS-CA3602-NA-10.5-2E,,,bf45ce71-c9db-49b8-8e15-b44d94a2feec,Hooey 10.5 Calf Rope,691119009246,A-CR-HooCore-WG-10.5-CALF,A-CR-HooCore-WG-10.5-CALF,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
e8ec0cf3-7982-4e3b-bf3f-00153c0d3a0b,Double-H Ronan (M-BHS-DH4655-TT-11.5-EE),0749186515112,M-BHS-DH4655-TT-11.5-EE,M-BHS-DH4655-TT-11.5-EE,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
e6c98610-b76c-4c19-a0f1-812baf31f605,"Vengeance Men's 12"" Waterproof U Toe Work Western Boots (M-BHS-DH5427-NEU-11.5-NA) [M-BHS-DH5427-NEU-11.5-NA]",,M-BHS-DH5427-NEU-11.5-NA,M-BHS-DH5427-NEU-11.5-NA,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
39513742-2fe7-43f9-809f-bc0f71c8273a,Plano Taupe Suede Boots (M-BHS-DR3051-NA-10.5-D) [M-BHS-DR3051-NA-10.5-D],,M-BHS-DR3051-NA-10.5-D,M-BHS-DR3051-NA-10.5-D,,,bf45ce71-c9db-49b8-8e15-b44d94a2feec,Hooey 10.5 Calf Rope,691119009246,A-CR-HooCore-WG-10.5-CALF,A-CR-HooCore-WG-10.5-CALF,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
4cc15e37-855c-42c0-bc78-aa62256d7f1c,Taskmaker Brown Water Buffalo Boots (M-BHS-PD4072-BB-10.5-D) [M-BHS-PD4072-BB-10.5-D],,M-BHS-PD4072-BB-10.5-D,M-BHS-PD4072-BB-10.5-D,,,bf45ce71-c9db-49b8-8e15-b44d94a2feec,Hooey 10.5 Calf Rope,691119009246,A-CR-HooCore-WG-10.5-CALF,A-CR-HooCore-WG-10.5-CALF,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
e8d839ac-bf22-42c6-82cd-a699d378dc38,Taskmaker Brown Water Buffalo Boots (M-BHS-PD4072-BB-10.5-EE) [M-BHS-PD4072-BB-10.5-EE],,M-BHS-PD4072-BB-10.5-EE,M-BHS-PD4072-BB-10.5-EE,,,bf45ce71-c9db-49b8-8e15-b44d94a2feec,Hooey 10.5 Calf Rope,691119009246,A-CR-HooCore-WG-10.5-CALF,A-CR-HooCore-WG-10.5-CALF,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
c09ba852-1860-40d9-bb7f-56384175692f,Taskmaker Brown Water Buffalo Boots (M-BHS-PD4072-BB-11.5-D) [M-BHS-PD4072-BB-11.5-D],,M-BHS-PD4072-BB-11.5-D,M-BHS-PD4072-BB-11.5-D,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
9e912196-72b4-4b63-8543-de351f2996ef,Taskmaker Brown Water Buffalo Boots (M-BHS-PD4072-BB-11.5-EE) [M-BHS-PD4072-BB-11.5-EE],,M-BHS-PD4072-BB-11.5-EE,M-BHS-PD4072-BB-11.5-EE,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
a493961d-be12-4490-9b30-bb9f23a6efd4,"Civil Dusk Men's 11"" Roper (M-BHS-PH5046-NA-11.5-EE)",,M-BHS-PH5046-NA-11.5-EE,M-BHS-PH5046-NA-11.5-EE,,,bf8ae541-3c57-4ef8-9b28-77832ce70c33,Tony Lama XT 5104,,M-BHS-XT-5104-11.5-EE,M-BHS-XT-5104-11.5-EE,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
a88fb81d-4dbc-40c3-8225-a01c19eab737,Civil Dusk Men's Western Boots (M-BHS-PH5047-B-8-D),,M-BHS-PH5047-B-8-D,M-BHS-PH5047-B-8-D,,,7dbcbc38-852f-4504-b2d9-d86f91177f38,Civil Dusk Men's Western Boots,,M-BHS-PH5047-NA-9-D-NA,M-BHS-PH5047-NA-9-D-NA,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
b0735537-2096-4929-86f2-990e4a10b923,Civil Dusk Men's Western Boots (M-BHS-PH5047-NA-10-D),749186537497,M-BHS-PH5047-NA-10-D,M-BHS-PH5047-NA-10-D,,,7dbcbc38-852f-4504-b2d9-d86f91177f38,Civil Dusk Men's Western Boots,,M-BHS-PH5047-NA-9-D-NA,M-BHS-PH5047-NA-9-D-NA,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
61ea07b1-f2dc-40d3-b67d-1ce09e7ace1b,Civil Dusk Men's Western Boots (M-BHS-PH5047-NA-11.5-D),,M-BHS-PH5047-NA-11.5-D,M-BHS-PH5047-NA-11.5-D,,,7dbcbc38-852f-4504-b2d9-d86f91177f38,Civil Dusk Men's Western Boots,,M-BHS-PH5047-NA-9-D-NA,M-BHS-PH5047-NA-9-D-NA,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
8789cf38-8292-4368-9d5b-5e86a3156f7d,Civil Dusk Men's Western Boots (M-BHS-PH5047-NA-13-D),,M-BHS-PH5047-NA-13-D,M-BHS-PH5047-NA-13-D,,,7dbcbc38-852f-4504-b2d9-d86f91177f38,Civil Dusk Men's Western Boots,,M-BHS-PH5047-NA-9-D-NA,M-BHS-PH5047-NA-9-D-NA,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
25c216eb-7558-4e43-904b-7560baf22afe,Civil Dusk Men's Western Boots (M-BHS-PH5047-NA-8.5-D) [M-BHS-PH5047-NA-8.5-D],,M-BHS-PH5047-NA-8.5-D,M-BHS-PH5047-NA-8.5-D,,,7dbcbc38-852f-4504-b2d9-d86f91177f38,Civil Dusk Men's Western Boots,,M-BHS-PH5047-NA-9-D-NA,M-BHS-PH5047-NA-9-D-NA,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
40edfc52-dcfe-468e-8df5-84fac33e8b9c,Civil Dusk Men's Western Boots (M-BHS-PH5047-NA-9.5-D),,M-BHS-PH5047-NA-9.5-D,M-BHS-PH5047-NA-9.5-D,,,7dbcbc38-852f-4504-b2d9-d86f91177f38,Civil Dusk Men's Western Boots,,M-BHS-PH5047-NA-9-D-NA,M-BHS-PH5047-NA-9-D-NA,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
238504da-9728-42e3-9212-491781f542c9,Civil Dusk Men's Western Boots (M-BHS-PH5047-NA-9.5-EE),,M-BHS-PH5047-NA-9.5-EE,M-BHS-PH5047-NA-9.5-EE,,,7dbcbc38-852f-4504-b2d9-d86f91177f38,Civil Dusk Men's Western Boots,,M-BHS-PH5047-NA-9-D-NA,M-BHS-PH5047-NA-9-D-NA,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
797d4ac4-e81d-4717-b0fb-e8fd8f5ab608,Bartlett Coffee Water Buffalo Boots (M-BHS-RR3358-BAR-10.5-D) [M-BHS-RR3358-BAR-10.5-D],,M-BHS-RR3358-BAR-10.5-D,M-BHS-RR3358-BAR-10.5-D,,,bf45ce71-c9db-49b8-8e15-b44d94a2feec,Hooey 10.5 Calf Rope,691119009246,A-CR-HooCore-WG-10.5-CALF,A-CR-HooCore-WG-10.5-CALF,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
9a93bf64-dda5-46d0-9bd3-47fd0b041239,Rasp Brown Water Buffalo Boots (M-BHS-RR3364-RAS-10.5-D) [M-BHS-RR3364-RAS-10.5-D],,M-BHS-RR3364-RAS-10.5-D,M-BHS-RR3364-RAS-10.5-D,,,bf45ce71-c9db-49b8-8e15-b44d94a2feec,Hooey 10.5 Calf Rope,691119009246,A-CR-HooCore-WG-10.5-CALF,A-CR-HooCore-WG-10.5-CALF,,,MEDIUM (color+size match),MERGE_AND_DELETE_BRACKET
