timestamp,ls_product_id,item,action,previous_value,new_value,notes
2026-05-12T18:25:05.650288Z,029b0e53-40e2-4174-b9b6-be1dc315b6b6,Cowboy Cut® Original Fit - Navy - 0013M / 30x31,UPC_FIXED,51071501644,051071501644,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,fc2619b6-0bd6-4850-ab66-7b22a8564fbf,Cowboy Cut® Original Fit - Navy - 0013M / 30x32,UPC_FIXED,51071501651,051071501651,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,2cf02538-747f-4b59-912a-99e1a6fb6fa4,Cowboy Cut® Original Fit - Navy - 0013M / 30x33,UPC_FIXED,51071501668,051071501668,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,975a5ded-df2b-42f2-b024-aeba8f08af36,Cowboy Cut® Original Fit - Navy - 0013M / 30x34,UPC_FIXED,51071501675,051071501675,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,4275ccee-9b87-4a8e-bb10-4b64fc771db3,Cowboy Cut® Original Fit - Navy - 0013M / 30x36,UPC_FIXED,51071501682,051071501682,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,baf5b884-6295-4da4-91f1-3a036c3c64fe,Cowboy Cut® Original Fit - Navy - 0013M / 30x38,UPC_FIXED,51071501699,051071501699,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,5b43f4ef-a2e8-4ed8-92b9-46332f0c0451,Cowboy Cut® Original Fit - Navy - 0013M / 30x40,UPC_FIXED,51071225281,051071225281,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,059bd79b-2b6f-4401-b157-e27c64533478,Cowboy Cut® Original Fit - Navy - 0013M / 31x29,UPC_FIXED,51071501705,051071501705,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,4f0a1c98-9ae3-484f-b274-71632d3f7b19,Cowboy Cut® Original Fit - Navy - 0013M / 31x30,UPC_FIXED,51071501712,051071501712,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,849b83eb-ff4c-475f-ba42-a81e957d7ab4,Cowboy Cut® Original Fit - Navy - 0013M / 31x31,UPC_FIXED,51071501729,051071501729,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,0248700f-ae11-498f-b9dd-6bd998c447cd,Cowboy Cut® Original Fit - Navy - 0013M / 31x32,UPC_FIXED,51071501736,051071501736,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,3efb69fa-eb97-47e0-baf7-490cb7e42eaa,Cowboy Cut® Original Fit - Navy - 0013M / 31x33,UPC_FIXED,51071501743,051071501743,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,ef54338f-4c0e-437d-9ba4-9fe7ea8eced8,Cowboy Cut® Original Fit - Navy - 0013M / 31x34,UPC_FIXED,51071501750,051071501750,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,e7645b38-c60e-4b42-a6f8-ee35132deb6a,Cowboy Cut® Original Fit - Navy - 0013M / 31x36,UPC_FIXED,51071501767,051071501767,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,7665a33a-ec6c-4339-bdc9-1aaa00d88142,Cowboy Cut® Original Fit - Navy - 0013M / 31x38,UPC_FIXED,51071501774,051071501774,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,8224ddf6-1af8-4499-a7ce-66f3270db6d0,Cowboy Cut® Original Fit - Navy - 0013M / 31x40,UPC_FIXED,51071225298,051071225298,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,bd5183bd-dd0a-4072-af22-b606d6f619a4,Cowboy Cut® Original Fit - Navy - 0013M / 32x29,UPC_FIXED,51071501781,051071501781,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,b0cfd30f-cd48-4ed7-afdf-7fee986ffc52,Cowboy Cut® Original Fit - Navy - 0013M / 32x30,UPC_FIXED,51071501798,051071501798,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,94fd9fb6-82bf-4b97-ab1a-a7a08933eb05,Cowboy Cut® Original Fit - Navy - 0013M / 32x31,UPC_FIXED,51071501804,051071501804,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,476620d7-2215-4b9e-a336-00fcf7814c49,Cowboy Cut® Original Fit - Navy - 0013M / 32x32,UPC_FIXED,51071501811,051071501811,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,d3d8743f-cd28-425c-866a-4f5663d04ca0,Cowboy Cut® Original Fit - Navy - 0013M / 32x33,UPC_FIXED,51071501828,051071501828,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,4a62fe9a-e70e-4992-ac44-b467fd28b1c7,Cowboy Cut® Original Fit - Navy - 0013M / 32x34,UPC_FIXED,51071501835,051071501835,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,56f616f7-bd25-4052-a502-2b34589efbe3,Cowboy Cut® Original Fit - Navy - 0013M / 32x36,UPC_FIXED,51071501842,051071501842,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,c2ebcdbb-137c-4a64-94ee-e50f9ddd4070,Cowboy Cut® Original Fit - Navy - 0013M / 32x38,UPC_FIXED,51071501859,051071501859,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,285e315f-9470-4af8-a21f-a5a77c1c8311,Cowboy Cut® Original Fit - Navy - 0013M / 32x40,ERROR,51071225304,051071225304,"HTTP 422: {'error': '{\n  ""error"": ""Product codes must be unique."",\n  ""fields"": {\n    ""duplicate_product_codes"": ""051071225304"",\n    ""existing_code_UPC"": ""05"
2026-05-12T18:25:05.650288Z,6393ecb1-5aac-41ea-89a3-1b2e9c7f87fd,Cowboy Cut® Original Fit - Navy - 0013M / 33x29,UPC_FIXED,51071501866,051071501866,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,63cbe0ac-5d90-402b-8249-6d590a9b2ccf,Cowboy Cut® Original Fit - Navy - 0013M / 33x30,UPC_FIXED,51071501873,051071501873,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,6d9c3bab-d307-4d4c-8cc6-d505a5255160,Cowboy Cut® Original Fit - Navy - 0013M / 33x31,UPC_FIXED,51071501880,051071501880,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,7b5a2125-240d-45a5-97ce-f792ad0c06a3,Cowboy Cut® Original Fit - Navy - 0013M / 33x32,UPC_FIXED,51071501897,051071501897,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,3a8cfc7b-d3ca-4606-a8c9-852669baf987,Cowboy Cut® Original Fit - Navy - 0013M / 33x33,UPC_FIXED,51071501903,051071501903,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,53fc80c7-cfad-439e-b003-4624d8257db8,Cowboy Cut® Original Fit - Navy - 0013M / 33x34,ERROR,51071501910,051071501910,"HTTP 422: {'error': '{\n  ""error"": ""Product codes must be unique."",\n  ""fields"": {\n    ""duplicate_product_codes"": ""051071501910"",\n    ""existing_code_UPC"": ""05"
2026-05-12T18:25:05.650288Z,5b3d951e-2e0f-451a-a17c-70ae69982f81,Cowboy Cut® Original Fit - Navy - 0013M / 33x36,UPC_FIXED,51071501927,051071501927,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,330a566c-33a1-458b-bc0f-699975b75b53,Cowboy Cut® Original Fit - Navy - 0013M / 33x38,UPC_FIXED,51071501934,051071501934,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,a8d1d570-0428-4769-824a-47ad9d27c3b9,Cowboy Cut® Original Fit - Navy - 0013M / 33x40,UPC_FIXED,51071225311,051071225311,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,39992537-f75c-4191-9710-8e6f8fb3c683,Cowboy Cut® Original Fit - Navy - 0013M / 34x29,UPC_FIXED,51071501941,051071501941,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,d25959c7-6a99-4902-9ea8-548b18a473e8,Cowboy Cut® Original Fit - Navy - 0013M / 34x30,UPC_FIXED,51071501958,051071501958,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,324008bf-8d7d-41eb-bf6c-c01329159030,Cowboy Cut® Original Fit - Navy - 0013M / 34x31,ERROR,51071501965,051071501965,"HTTP 422: {'error': '{\n  ""error"": ""Product codes must be unique."",\n  ""fields"": {\n    ""duplicate_product_codes"": ""051071501965"",\n    ""existing_code_UPC"": ""05"
2026-05-12T18:25:05.650288Z,d1e570fa-7883-4e0b-8c7f-7c905bbfbd8c,Cowboy Cut® Original Fit - Navy - 0013M / 34x32,UPC_FIXED,51071501972,051071501972,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,c18634c3-d872-48ea-a58e-f8db8d2910cf,Cowboy Cut® Original Fit - Navy - 0013M / 34x33,UPC_FIXED,51071501989,051071501989,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,3497fb91-b430-4a3a-8e6b-af2c35501777,Cowboy Cut® Original Fit - Navy - 0013M / 34x34,UPC_FIXED,51071501996,051071501996,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,a2e2762f-abd9-4cdd-bbb4-dc517f83a21e,Cowboy Cut® Original Fit - Navy - 0013M / 34x36,UPC_FIXED,51071502009,051071502009,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,d74aa579-36f3-493a-a49a-a273a13646f6,Cowboy Cut® Original Fit - Navy - 0013M / 34x38,UPC_FIXED,51071502016,051071502016,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,22a01fc4-a604-4c02-aa52-7171e0bca64d,Cowboy Cut® Original Fit - Navy - 0013M / 34x40,UPC_FIXED,51071225328,051071225328,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,56ebf3d2-63a3-4c76-92ee-364c7ecf7e6a,Cowboy Cut® Original Fit - Navy - 0013M / 35x30,UPC_FIXED,51071502023,051071502023,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,d271e37f-9dca-4f36-95e9-161809448949,Cowboy Cut® Original Fit - Navy - 0013M / 35x32,ERROR,51071502030,051071502030,"HTTP 422: {'error': '{\n  ""error"": ""Product codes must be unique."",\n  ""fields"": {\n    ""duplicate_product_codes"": ""051071502030"",\n    ""existing_code_UPC"": ""05"
2026-05-12T18:25:05.650288Z,673fcbec-df38-4cec-b83f-101a05b7ddcd,Cowboy Cut® Original Fit - Navy - 0013M / 35x34,ERROR,51071502047,051071502047,"HTTP 422: {'error': '{\n  ""error"": ""Product codes must be unique."",\n  ""fields"": {\n    ""duplicate_product_codes"": ""051071502047"",\n    ""existing_code_UPC"": ""05"
2026-05-12T18:25:05.650288Z,9ab1125e-783b-4c5f-a62a-9d6fb11f8437,Cowboy Cut® Original Fit - Navy - 0013M / 35x36,UPC_FIXED,51071502054,051071502054,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,9b3151c1-c20a-4f1b-ab72-0faeee9cd09d,Cowboy Cut® Original Fit - Navy - 0013M / 35x38,UPC_FIXED,51071502061,051071502061,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,27712aa5-0c6c-4bd2-9622-1dd2b16281dd,Cowboy Cut® Original Fit - Navy - 0013M / 36x29,UPC_FIXED,51071502078,051071502078,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,24537134-2ed6-407f-8618-68bbb90612f1,Cowboy Cut® Original Fit - Navy - 0013M / 36x30,UPC_FIXED,51071502085,051071502085,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,cc31f625-7b87-4ac7-aff3-15fe0e8b71e6,Cowboy Cut® Original Fit - Navy - 0013M / 36x31,UPC_FIXED,51071502092,051071502092,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,e91537e9-2d13-494b-a5b1-ecde57a6ece3,Cowboy Cut® Original Fit - Navy - 0013M / 36x32,ERROR,51071502108,051071502108,"HTTP 422: {'error': '{\n  ""error"": ""Product codes must be unique."",\n  ""fields"": {\n    ""duplicate_product_codes"": ""051071502108"",\n    ""existing_code_UPC"": ""05"
2026-05-12T18:25:05.650288Z,8632c858-abb9-46ac-b68f-3281ef974173,Cowboy Cut® Original Fit - Navy - 0013M / 36x33,UPC_FIXED,51071502115,051071502115,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,db1891a1-5f8a-4018-ba39-b1823c7b97df,Cowboy Cut® Original Fit - Navy - 0013M / 36x34,ERROR,51071502122,051071502122,"HTTP 422: {'error': '{\n  ""error"": ""Product codes must be unique."",\n  ""fields"": {\n    ""duplicate_product_codes"": ""051071502122"",\n    ""existing_code_UPC"": ""05"
2026-05-12T18:25:05.650288Z,29a2d334-15e9-476b-b4cd-fea467adbe09,Cowboy Cut® Original Fit - Navy - 0013M / 36x36,ERROR,51071502139,051071502139,"HTTP 422: {'error': '{\n  ""error"": ""Product codes must be unique."",\n  ""fields"": {\n    ""duplicate_product_codes"": ""051071502139"",\n    ""existing_code_UPC"": ""05"
2026-05-12T18:25:05.650288Z,10a91b93-cb0a-487d-b3fe-5a213af52b0c,Cowboy Cut® Original Fit - Navy - 0013M / 36x38,UPC_FIXED,51071502146,051071502146,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,535a94c0-5c30-4408-b24f-0cdb81b428d6,Cowboy Cut® Original Fit - Navy - 0013M / 36x40,UPC_FIXED,51071225335,051071225335,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,6159946e-4e9e-4dc0-9879-037981c143b1,Cowboy Cut® Original Fit - Navy - 0013M / 37x32,UPC_FIXED,51071372022,051071372022,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,79f0639b-b938-4ff9-9217-0656e5831bd8,Cowboy Cut® Original Fit - Navy - 0013M / 37x34,ERROR,51071372039,051071372039,"HTTP 422: {'error': '{\n  ""error"": ""Product codes must be unique."",\n  ""fields"": {\n    ""duplicate_product_codes"": ""051071372039"",\n    ""existing_code_UPC"": ""05"
2026-05-12T18:25:05.650288Z,c31eb9d5-1d2c-4a0a-bef1-93b79021e570,Cowboy Cut® Original Fit - Navy - 0013M / 37x36,UPC_FIXED,51071372046,051071372046,Prepended leading 0 (11-digit starting 5)
2026-05-12T18:25:05.650288Z,acfe6ab0-d782-432c-837b-1c1ebf98f28c,Cowboy Cut® Original Fit - Navy - 0013M / 38x29,UPC_FIXED,51071502153,051071502153,Prepended leading 0 (11-digit starting 5)
