ID,Name,UPC,Auto-Generated,Custom 1,Custom 2,Product Category,Variant_option_one_name,Variant_option_one_value,Variant_option_two_name,Variant_option_two_value,Variant_option_three_name,Variant_option_three_value,Variant_option_four_name,Variant_option_four_value,Tags,Supply price,Retail price,Brand,Supplier,Supplier Code,Active,Track Inventory,Family ID,embedded_sku
f8744408-a7f0-48a3-b60e-de66d9015421,Infant's Driving Moc (K-TWX-ICA0045-WHI-5-M),884882886224,K-TWX-ICA0045-WHI-3-M,K-TWX-ICA0045-WHI-3-M,,Footwear - Shoes,Color,"White & Red, White, & Blue",Shoe Width,M,Size,3,,,976e073c-af50-40ab-aabd-2bdea394924a,0.0,44.95,Twisted X,Twisted X,,True,True,2ecbb7bf-baa6-4711-acfb-25a2927b1979,K-TWX-ICA0045-WHI-5-M
fd5c38c4-64cf-4c6b-aa15-b81c46f6591c,Infant's Driving Moc (K-TWX-ICA0045-WHI-5-M),884882886125,K-TWX-ICA0045-WHI-8-M,K-TWX-ICA0045-WHI-8-M,,Footwear - Shoes,Color,"White & Red, White & Blue",Shoe Width,M,Size,8,,,976e073c-af50-40ab-aabd-2bdea394924a,0.0,44.95,Twisted X,Twisted X,,True,True,2ecbb7bf-baa6-4711-acfb-25a2927b1979,K-TWX-ICA0045-WHI-5-M
1df5d85c-38bf-40ff-941d-29a0b116d5b1,Infant's Driving Moc (K-TWX-ICA0045-WHI-5-M),884882886149,K-TWX-ICA0045-WHI-7-M,K-TWX-ICA0045-WHI-7-M,,Footwear - Shoes,Color,"White & Red, White, & Blue",Shoe Width,M,Size,7,,,976e073c-af50-40ab-aabd-2bdea394924a,0.0,44.95,Twisted X,Twisted X,,True,True,2ecbb7bf-baa6-4711-acfb-25a2927b1979,K-TWX-ICA0045-WHI-5-M
3fe9c36a-96ff-4772-9897-a6af6f6f181c,Infant's Driving Moc (K-TWX-ICA0045-WHI-5-M),884882886187,K-TWX-ICA0045-WHI-5-M,K-TWX-ICA0045-WHI-5-M,,Footwear - Shoes,Color,"White & Red, White & Blue",Shoe Width,M,Size,5,,,976e073c-af50-40ab-aabd-2bdea394924a,0.0,44.95,Twisted X,Twisted X,,True,True,2ecbb7bf-baa6-4711-acfb-25a2927b1979,K-TWX-ICA0045-WHI-5-M
53503b57-6ac7-46de-b670-75e9cb069b71,Infant's Driving Moc (K-TWX-ICA0045-WHI-5-M),,K-TWX-ICA0045-WHI-2-M,K-TWX-ICA0045-WHI-2-M,,Footwear - Shoes,Color,"White & Red, White, & Blue",Shoe Width,M,Size,2,,,976e073c-af50-40ab-aabd-2bdea394924a,0.0,44.95,Twisted X,Twisted X,,True,True,2ecbb7bf-baa6-4711-acfb-25a2927b1979,K-TWX-ICA0045-WHI-5-M
94e44172-182f-4cae-b0c2-13467be68efa,Infant's Driving Moc (K-TWX-ICA0045-WHI-5-M),884882886200,K-TWX-ICA0045-WHI-4-M,K-TWX-ICA0045-WHI-4-M,,Footwear - Shoes,Color,"White & Red, White, & Blue",Shoe Width,M,Size,4,,,976e073c-af50-40ab-aabd-2bdea394924a,0.0,44.95,Twisted X,Twisted X,,True,True,2ecbb7bf-baa6-4711-acfb-25a2927b1979,K-TWX-ICA0045-WHI-5-M
95b0b8a0-7599-492b-b460-91dab8a63cf1,Infant's Driving Moc (K-TWX-ICA0045-WHI-5-M),884882886163,K-TWX-ICA0045-WHI-6-M,K-TWX-ICA0045-WHI-6-M,,Footwear - Shoes,Color,"White & Red, White, & Blue",Shoe Width,M,Size,6,,,976e073c-af50-40ab-aabd-2bdea394924a,0.0,44.95,Twisted X,Twisted X,,True,True,2ecbb7bf-baa6-4711-acfb-25a2927b1979,K-TWX-ICA0045-WHI-5-M
9bc440f6-0326-4b96-8456-d6f56bc9159d,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),884882125224,K-TWX-YTH0024-BRO-6-M,K-TWX-YTH0024-BRO-6-M,,Footwear - Boots,Color,Brownie & Turquoise,Shoe Width,M,Size,6,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
d579c33f-9f27-45d0-9839-072a8a1f5c0a,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),884882125101,K-TWX-YTH0024-BRO-13.5-NA,K-TWX-YTH0024-BRO-13.5-NA,,Footwear - Boots,Color,Brownie & Turquoise,Shoe Width,NA,Size,13.5,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
d7dfe76d-924e-4975-a26a-dbb57ce04285,Top Hand Kids Boots (K-TWX-YTH0024-BRO-11-M),884882592187,K-TWX-YTH0024-BRO-1-M,K-TWX-YTH0024-BRO-1-M,,Footwear - Boots,Color,Brownie & Turquoise,Shoe Width,M,Size,1,,,41a95de2-1c29-4bb7-ba04-78756cb2f139,0.0,109.95,Twisted X,Twisted X,,True,True,b4b806a8-9a1b-4b48-a14d-f0af102137a4,K-TWX-YTH0024-BRO-11-M
