style,orphan_sku,orphan_ls_id_being_deleted,source_pid,existing_sibling_skus,sibling_count,action_taken,review_note
7-10,A-JPC-7-10-Ex-Long-Tugs,b4675682-b063-488d-870c-152abcc8a347,5567,BG6PD07900-37-10 | PH5047-105D-9 | PH5047-100D-9 | PH5047-1052E-9 | 61-9997-10-0,326,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
35-7035-DP,A-WLE-35-7035-DP-DAR-Med-Horse-or-Yearling-Draft-Horse,2efa0b0e-0242-44af-b7db-126f12c7bf41,5644,35-7035-DP,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
35-1032-PU,A-WLE-35-1032-PU-PUR-Weanling-Horse,bb56435b-8149-4664-9670-e7a16c1392ed,5674,35-1032-PU,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
35-1032-HB,A-WLE-35-1032-HB-HUR-Weanling-Horse,36509d82-8254-49b9-b469-8a47be1ff147,5675,35-1032-HB,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
35-1032-RD,A-WLE-35-1032-RD-RED-Weanling-Horse,6ddeca2b-e7de-4d5e-abba-a2b12dca95bb,5676,35-1032-RD,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
35-1032-BL,A-WLE-35-1032-BL-BLU-Weanling-Horse,61d59906-247b-4dac-9b44-1398423a2e5b,5677,35-1032-BL,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CSCMCEB3041BB66,A-GEN-CSCMCEB3041BB66-BUR-6-3/4,1f8d4cd4-3541-4d29-91b6-22b1153f3876,5704,CSCMCEB3041BB66,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CSCMCEB3041BB73,A-GEN-CSCMCEB3041BB73-BUR-7-3/8,4205b47f-8feb-4505-b4fa-d35305806897,5705,CSCMCEB3041BB73,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CSCMCEB3041BB74,A-GEN-CSCMCEB3041BB74-BUR-7-1/2,3bba709f-76b7-4f89-bbd4-9e5f90407e91,5706,CSCMCEB3041BB74,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
OSALDR,A-RHE-OSALDR---203005M0-WHE-M,ae9f16f1-a1cf-4365-8ded-fd3ecd6adc9d,5709,OSALDR-203005L0 | OSALDR-203005M0 | OSALDR-203005XL | OSALDR-203005S0 | A-RHE-OSALDR-203005MO-WHE-M,5,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71621-7.5,A-MFW-T71621-7.5-7-1/2,08128dd5-4ea7-4037-ac77-1deb03aed1e0,5726,T71621-7.5,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T73436-6.75,A-MFW-T73436-6.75-6-3/4,7da93aeb-1ccc-4e1d-84fe-d904d1a4d300,5729,T73436-6.75,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T73436-6.875,A-MFW-T73436-6.875-6-7/8,30af0ea2-b2fd-4f01-8649-66a6b3fdca9c,5730,T73436-6.875,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T73436-7.5,A-MFW-T73436-7.5-7-1/2,04a303e3-2786-4196-a1c8-1af6716d3df8,5735,T73436-7.5,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T73436-7.625,A-MFW-T73436-7.625-7-5/8,37abbba7-3cec-45f6-943b-d59ee9e2607b,5736,T73436-7.625,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSCOJO,A-GEN-RSCOJO---CJ429666-NT-6-3/4,2f225d6c-c953-4c71-9384-ad8eefda7e12,5743,RSCOJO-CJ429671 | RSCOJO-CJ420572 | RSCOJO-CJ420576 | RSCOJO-CJ420574 | RSCOJO-CJ420566,25,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSCOJO-CJ429667,A-GEN-RSCOJO-CJ429667-NT-6-7/8,868a6361-dc7c-4d3c-969b-8b8f1b45fbec,5746,RSCOJO-CJ429667,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T7101001-7.125,A-MFW-T7101001-7.125-BLA-7-1/8,b34be4ce-e7cd-48a1-956c-385538af8570,5779,T7101001-7.125,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T7101001-7.375,A-MFW-T7101001-7.375-BLA-7-3/8,9b47a381-2497-42d4-b3b7-36531be8b304,5780,T7101001-7.375,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T75324286-7.125,A-MFW-T75324286-7.125-BLA-7-1/8,0da6fea8-74af-4716-bb84-1ebb8c8d6c84,5784,T75324286-7.125,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T73436-7.25,A-MFW-T73436-7.25-7-1/4,b3a922f4-f66b-4f93-9ea3-6ca7acdbb026,5798,T73436-7.25,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
A73124-7.625,A-MFW-A73124-7.625-7-5/8,e9970eb3-3504-4bff-8520-968fb5227930,5832,A73124-7.625,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
A73124-7.5,A-MFW-A73124-7.5-7-1/2,48266175-181d-4aea-b11a-fe95cef0e112,5833,A73124-7.5,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
A73124-6.875,A-MFW-A73124-6.875-7-7/8,afbcfc91-67d6-40e8-a241-21c189e25685,5841,A73124-6.875,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
A73148-7,A-MFW-A73148-7-125-7-1/8,088b38cb-6777-4f42-89ac-c6922d2f923b,5846,A-MFW-A73148-7-7 | A-MFW-A73148-7.25-7-1/4 | A-GEN-A73148-7.375-7-3/8 | A-MFW-A73148-7.625-7-5/8 | A-MFW-A73148-7.5-7-1/2,7,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71621-7.625,A-MFW-T71621-7.625-7-5/8,d9e2de4e-224d-48a6-b17f-a0c390ec2cea,5850,T71621-7.625,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71621-6.75,A-MFW-T71621-6.75-6-3/4,a170d8aa-b260-4b8b-9a7b-6d80f80aa1ba,5856,T71621-6.75,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71621-6.875,A-MFW-T71621-6.875-6-7/8,2d685b6d-a8df-448f-8921-bc80a711ae83,5877,T71621-6.875,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSCOJO-CJ429676,A-GEN-RSCOJO-CJ429676-NT-7-3/4,5880db9d-1011-4199-ae5d-7fecb4d68950,5879,RSCOJO-CJ429676,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSCOJO-CJ429674,A-GEN-RSCOJO-CJ429674-NT-7-1/2,de8f695f-c954-43a4-b528-7c779fca5131,5880,RSCOJO-CJ429674,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSCOJO-CJ429675,A-RHE-RSCOJO-CJ429675-NT-7-5/8,e5887637-dc93-4310-b6fc-61d9efd6dfec,5881,RSCOJO-CJ429675,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
3164,K-SMB-3164-C-PB-10-NA,fcb19609-55d4-4267-ad0a-d551e13f0645,5951,SMB/3164C/PPGBD/10 | K-SMB-3164C-PB-10-NA,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
3310,K-SMB-3310-C-BP-9.5-NA,168f4e74-d4d0-4fba-aac3-a4f38591955c,5967,243310-0-0 | K-GEN-F530043310X4TD-BEI-4T | K-SMB-3310C-BP-9.5-NA,3,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
A300081601,K-MFW-A300081601-BG-Youth-OS,ec34c53a-8fac-4ddf-b48a-29b254ff78ed,6005,A300081601,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
A300081706,K-MFW-A300081706-GW-Youth-OS,35df0925-c858-4488-9427-24f0e354024d,6006,A300081706,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MCC0606038,A-MIN-MCC0606038-MUL-GW-OSFA,ecbc82c9-ca05-402b-91f1-fe817beb9159,6007,B-MIN-MCC0606038-MUL-OSFA,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CXX7207028,A-CRU-CXX7207028-GRN-GRN-OSFA,76a037ef-ac03-41bd-9ae2-da3a7ee431d7,6009,W-CRU-CXX7207028-GRN-OSFA,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTW7061390,K-MIN-MTW7061390-PUR-PUR-4T,4a1d8cd4-625a-4b5b-8809-8f05224236ed,6109,MTW7061390 | MTW7061390-PUR-3T | K-MIN-MTW7061390-PUR-4T,3,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTW7062390,K-MIN-MTW7062390-PUR-PUR-12-18M,6ada6557-3243-4dcb-a9dc-43b0938f2a4a,6110,MTW7062390-PUR-6-12M | MTW7062390 | MTW7062390-PUR-12-18M,3,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTW7062374,K-MIN-MTW7062374-TUR-TUR-6-12M,fb0970aa-1e49-4017-a569-052ccf9f3f2d,6115,K-MIN-MTW7062374-TUR-3-6M | K-MIN-MTW7062374-TUR-6-12M | MTW7062374-TUR-12-18M,3,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTW7060380,W-MIN-MTW7060380-PNK-PNK-XS,a2807bfc-2a80-45eb-92a9-d9d052be813f,6123,W-MIN-MTW7060380-PNK-XS | MTW7060380-PNK-S/6-8 | MTW7060380-PNK-M/10 | MTW7060380-PNK-L/12 | MTW7060380-PNK-XL/14,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTT7671097,K-MIN-MTT7671097-BLK-BLA-2T,58d309dc-09a9-4885-b6e3-5c41241a9cb3,6127,B-MIN-MTT7671097-BLK-2T | MTT7671097-BLK-3T | MTT7671097-BLK-4T,3,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MWK7590020,B-MIN-MWK7590020-BRN-BRN-XXL,c1ac33d6-ee7c-476d-a8cb-34a352696618,6209,MWK7590020 | MWK7590020-BRN-L/12 | MWK7590020-BRN-XL/14 | B-MIN-MWK7590020-BRN-XXL | MWK7590020-BRN-M/10,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CTW3390002,G-CRU-CTW3390002-COR-COR-L/10,f06a3516-7dca-4331-8ed1-9bc07c3c070a,6307,G-CRU-CTW3390002-COR-XS | CTW3390002-COR-XL/12 | CTW3390002-COR-M/8 | CTW3390002-COR-XXL/14-16 | CTW3390002-COR-S/6-7,7,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
1/4,A-GEN-1/4-XS,fabbf49a-2e72-4860-9ba8-9fa09b5bfb03,6363,A-MFW-T75324286-7.25-GRA-7-1/4 | A-MFW-T71010149-7.25-BEI-7-1/4 | A-BHH-2777-WB-58-7-1/4 | A-HBR-RSHODRK8342M272-BW-7-1/4 | A-RHE-PGNT--R-WHI-7-1/4,25,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
