style,orphan_sku,orphan_ls_id_being_deleted,source_pid,existing_sibling_skus,sibling_count,action_taken,review_note
CTW7474002,W-CRU-CTW7474002-BLK-BLA-XL,9e19f4a6-607a-4fbc-ba2b-5f2752c66e5e,2398,CTW7474002 | CTW7474002-BLK-S | CTW7474002-BLK-M | CTW7474002-BLK-L | W-MIN-CTW7474002-BLK-XL,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CTW7004004,W-CRU-CTW7004004-NAV-NAV-XXL,2b6e0a1f-e366-4dbb-86c2-50d9ba67a4e4,2475,W-MIN-CTW7004004-NAV-XXL,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MAK7906002,A-MIN-MAK7906002-GRY-GRA-XXL,518edd8b-4bfa-4560-9fc1-329646e44d71,2480,W-Cinch-MAK7906002-GRY-XXL- | W-MIN-MAK7906002-GRY-GRA-XXL,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MAK9819004,W-MIN-MAK9819004-LTB-LIG-XXL,31dfe12d-2f53-4ebc-a844-47cfb8439d47,2489,MAK9819004 | W-Cinch-MAK9819004-LTB-XXL,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CTK7508002,W-CRU-CTK7508002-LTB-LIG-XL,157cea8c-5919-4d45-8994-b12b218442f1,2518,CTK7508002 | W-CRU-CTK7508002-LTB-XL,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
L70,A-GEN-L70-Chap-BLA-M,c24a07cd-41bb-43c6-af6a-67295c20073c,2525,SFEPTN-0140ML70 | TFPRSTB1024AL70 | RFMDMX-7242DL70 | SFEPTN-7540ML70 | SFEPTN-4840ML70,10,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
3032,K-SMB-3032-Y-BLA-3.5-NA,25d432f7-9197-4030-b36d-7a6451e69983,2569,50-3032-14-0 | 50-3032-2-0 | 50-3032-10-0 | 50-3032-4-0 | 50-3032M-14-0,19,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
3306,K-SMB-3306-Y-BV-4.5-NA,996607c8-3c99-449e-a773-91d961d7cdda,2606,SMB-3306C-BDVCL-9 | SMB-3306C-BDVCL-9.5 | SMB-3306C-BDVCL-10 | SMB-3306C-BDVCL-10.5 | SMB-3306C-BDVCL-11,30,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
1,A-GEN-1-#1069,c3f640d6-6fab-4abe-8993-0b784dcf5ffc,2763,JK7376-D010 | JK7376-D130 | JK7376-D110 | JK7376-D120 | JK7376-D100,46701,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
58-2451-2-0,A-JTI-58-2451-2-0-BLA-1-lb,9dcac738-fe99-4c80-8735-f9804ad59c62,2764,58-2451-2-0,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
