source_pid,orphan_sku,ls_product_id,ls_uuid_found,style_number_raw,style_number_clean,embedded_color_code,brand,supplier,category,barcode,retail_price,supply_price,color,size,item_name
5482,A-MIN-MCC0660648-BRN-BRN-OSFA,8fa8557b-0423-4432-b5dd-31f93f06cd82,Y,MCC0660648 BRN,MCC0660648,BRN,Cinch,Miller International,Hats - ball,192584591422,29.95,,BRN,OSFA,Cinch Trucker Hat
5491,A-CRU-CCC0041039-BRN-BRN-OSFA,b5dfb5b1-3953-4137-91de-4a860c556489,Y,CCC0041039 BRN,CCC0041039,BRN,Cruel Denim,Cruel Denim,Hats - ball,192584594454,29.95,,BRN,OSFA,Cruel Denim Hat
5499,A-CRU-CCC0042029-TUR-TUR-OSFA,fb859650-9925-4ceb-94fd-023db0af0a6d,Y,CCC0042029 TUR,CCC0042029,TUR,Cruel Girls,Cruel Girls,Hats - ball,192584495997,28.95,,TUR,OSFA,Cruel Girls Trucker Cap
5500,A-CRU-CCC0042028-BLK-BLK-OSFA,1e670178-6e92-4786-949a-26190bb3914d,Y,CCC0042028 BLK,CCC0042028,BLK,Cruel Girls,Cruel Girls,Hats - ball,192584495980,29.95,,BLK,OSFA,Cruel Girls Cap
5502,K-CRU-CCC0042036-BRN-BRN,7e93a2ca-93f8-41b5-bded-202543f3c2ba,Y,CCC0042036 BRN,CCC0042036,BRN,Cruel Girls,Cruel Girls,Hats - ball,192584596823,29.95,,BRN,,Cruel Girls Hat
5544,A-JPC-2866/13-DBR-5/8-x-60,c659272b-60c6-4889-8e39-8d3a296af188,Y,2866/13,2866/13,,ERS,JPC Equestrian,Equestrian - Reins,841095370209,69.95,,Dark Brown,5/8 x 60,OV XL Laced Reins 5/8 x 60
5547,A-WLE-35-4600-1-x-12,02af79f1-eb7a-4821-bd5f-53d410ef04c3,Y,35-4600,35-4600,,Weaver Leather,Weaver Leather,Training,000399288201,16.95,,,1 x 12,"Training Fork NY 1""x12"""
5567,A-JPC-7-10-Ex-Long-Tugs,b4675682-b063-488d-870c-152abcc8a347,Y,7-10,7-10,,Colorado Saddlery,JPC Equestrian,Equestrian - Tack,612458070667,38.95,,,Ex Long Tugs,Extra Long Tugs
5571,A-JMA-221603-K-BLA-8992-D,14b7ad63-1f23-45bc-a8f2-4787dc162fa9,Y,221603-K,221603-K,,Mustang Manufacturing,"Jacks Manufacturing, Inc.",Equestrian - Accessories,635913064919,18.95,,Black,8992 D,Mounting Stirrup
5609,A-WLE-35-7036-DP-LG-HORSE-OR-2-YR-OLD-DRAFT-HORSE,e2aa08be-4e69-4966-ab6d-cf86ebd0e4e2,Y,35-7036-DP,35-7036-DP,,Weaver Leather,Weaver Leather,Equestrian - Halter,000399214925,25.95,,,LG HORSE OR 2 YR OLD DRAFT HORSE,"1"" Adjustable Chin & Throat Snap Halter"
