id,sku,color,size,length
22ecadc4-fa17-4d28-82f6-2c0bfbe20138,10226,RIGID,38,30
abe006af-c0a6-42c1-b198-a81b7f158244,10227,RIGID,38,32
d0fe4efa-6ecf-4c8f-be84-8301a392b323,10228,RIGID,38,38
31c8741a-fb67-40a8-b261-93f04ad004b5,10229,RIGID,35,34
7d215da1-1376-428d-9a1f-c169f38069eb,10230,RIGID,35,36
b50ced0c-f7a9-49e1-ad49-0765d375c75a,10231,RIGID,35,30
3b6333dc-4177-4f59-90bf-1288869642de,10232,RIGID,35,32
3f8eb57f-5fc1-47d1-bcb1-1962deb1108a,10233,RIGID,35,38
4cbe7bd7-a47c-4482-9094-eb9e01e9a19e,10234,RIGID,35,40
95e592a2-8794-4724-91ce-9468c37d4c1e,10235,RIGID,35,44
5c9e42ee-19e9-4ad1-86b6-ecdd8e8b1add,10236,RIGID,36,34
6bb3d316-86e9-4897-b227-be92421f9138,10237,RIGID,36,36
2d142612-9d73-43f9-82a6-56c205f51c5d,10238,RIGID,34,34
aacd8db1-9c80-4824-88e8-425377045ceb,10239,RIGID,34,36
54b5671d-a6d4-42c7-8ca3-dd642db79647,10240,RIGID,34,30
1482eb4c-cc46-4d2c-a1da-ebcaf1926610,10241,RIGID,34,32
680c9c72-fc5c-47c5-8a8d-818666b173be,10242,RIGID,34,38
f93393f6-45f6-4005-ad07-bd7deb434af5,10243,RIGID,34,40
18da9191-5a06-4a5e-a7fc-dfcbb3235faf,10244,RIGID,33,40
2e8989b2-83fb-4dca-9b46-a7056ff05c75,10245,RIGID,33,38
