source,ls_product_id,sku,new_name,color_code,size,length,ls_barcode,ss_upc,upc_match,ls_supply_price,ss_supply_price,supply_match,ls_retail_price,status
per_color_family,c9bbc282-3860-43fb-91db-8a554246d453,M-Kon-1013MWZKL-27-34,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,27,34,084084784858,084084784858,True,30.0,30.0,True,59.95,CLEAN
per_color_family,7a51e169-10f8-4dea-b987-2db5982c4330,M-Kon-1013MWZKL-27-36,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,27,36,084084784865,084084784865,True,30.0,30.0,True,59.95,CLEAN
per_color_family,ad59556f-4f5b-4aca-9e26-bdcaed50f002,M-Kon-1013MWZKL-28-30,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,28,30,672787249639,672787249639,True,30.0,30.0,True,59.95,CLEAN
per_color_family,332ba674-a031-44fc-82c2-093b27ee4818,M-Kon-1013MWZKL-28-32,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,28,32,084084784872,084084784872,True,30.0,30.0,True,59.95,CLEAN
per_color_family,098c92d8-a51a-4d4e-8fbf-e2cfb24563c6,M-Kon-1013MWZKL-28-34,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,28,34,084084784889,084084784889,True,30.0,30.0,True,59.95,CLEAN
per_color_family,c163d7ca-6f34-4483-839c-b7d244789e66,M-Kon-1013MWZKL-28-36,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,28,36,084084784896,084084784896,True,30.0,30.0,True,59.95,CLEAN
per_color_family,d768145b-79b5-461a-816d-10cd9e1c2be7,M-Kon-1013MWZKL-29-30,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,29,30,760609639987,760609639987,True,30.0,30.0,True,59.95,CLEAN
per_color_family,e4d572a7-2126-4d5a-8836-378fd38ebb2d,M-Kon-1013MWZKL-29-32,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,29,32,084084784902,084084784902,True,30.0,30.0,True,59.95,CLEAN
per_color_family,d333a448-f654-4627-b851-65cac0ece6a5,M-Kon-1013MWZKL-29-34,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,29,34,084084784919,084084784919,True,30.0,30.0,True,59.95,CLEAN
per_color_family,fe6b1e91-7033-46a4-8cc8-ad7cf4f1dbd7,M-Kon-1013MWZKL-29-36,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,BCH,29,36,084084784926,084084784926,True,30.0,30.0,True,59.95,CLEAN
